original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
8⁰.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	162951
4⁰.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	 88175
12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	 69125
2⁰.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	 57351
1/2⁰.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	 34870
1⁰.	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	 16413
1/4⁰.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	  9100
?⁰.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	  5518
NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	  4866
1/8⁰.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	  2781
18⁰.	18mo	NA	NA	FALSE	18mo	10.0	16.0	 0	 160.00	  2003
16⁰.	16mo	NA	NA	FALSE	16mo	12.0	15.0	 0	 180.00	  1986
24⁰.	24mo	NA	NA	FALSE	24mo	 8.5	12.5	 0	 106.25	  1763
4°.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	  1461
4⁰	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	  1272
8⁰	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	  1028
obl. 1⁰.	1to	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	  1017
obl. 1/2⁰.	2fo	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	   984
broadsheet	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   838
obl.1/2⁰.	2fo	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	   816
12⁰	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	   726
32⁰.	32mo	NA	NA	FALSE	32mo	 7.0	12.0	 0	  84.00	   712
1/12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	   683
octavo	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   532
2⁰	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   498
quarto [fewer than 50 pages]	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   491
1/2⁰	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   442
quarto	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   343
duodecimo	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	   306
17 cm.	NA	NA	17.0	FALSE	NA	12.0	17.0	NA	 204.00	   243
34 x 21 cm.	NA	21.0	34.0	FALSE	2fo	21.0	34.0	 0	 714.00	   225
obl.4⁰.	4to	NA	NA	 TRUE	4to	28.0	22.0	 1	 616.00	   219
obl.2⁰.	2fo	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	   195
16 cm.	NA	NA	16.0	FALSE	NA	11.0	16.0	NA	 176.00	   194
19 cm.	NA	NA	19.0	FALSE	NA	13.0	19.0	NA	 247.00	   180
18 cm.	NA	NA	18.0	FALSE	NA	12.0	18.0	NA	 216.00	   165
1/16⁰.	16mo	NA	NA	FALSE	16mo	12.0	15.0	 0	 180.00	   161
21 cm.	NA	NA	21.0	FALSE	NA	14.0	21.0	NA	 294.00	   158
long 12⁰.	12long	NA	NA	FALSE	12long	13.0	20.0	 0	 260.00	   157
s.sh.fol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	   154
obl. 4⁰.	4to	NA	NA	 TRUE	4to	28.0	22.0	 1	 616.00	   141
obl.8⁰.	8vo	NA	NA	 TRUE	8vo	19.0	13.0	 1	 247.00	   141
20 cm.	NA	NA	20.0	FALSE	NA	13.0	20.0	NA	 260.00	   137
folio	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   136
?⁰	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	   126
obl.1/8⁰.	8vo	NA	NA	 TRUE	8vo	19.0	13.0	 1	 247.00	   124
64⁰.	64mo	NA	NA	FALSE	64mo	 5.0	 7.0	 0	  35.00	   122
octavo [fewer than 50 pages]	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   120
20 cm. (4⁰)	4to	NA	20.0	FALSE	4to	17.0	20.0	 0	 340.00	   112
obl. 1/4⁰.	4to	NA	NA	 TRUE	4to	28.0	22.0	 1	 616.00	   112
folio [fewer than 50 pages]	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   111
21 cm (8⁰)	8vo	NA	21.0	FALSE	8vo	14.0	21.0	 0	 294.00	   111
obl.12⁰.	12mo	NA	NA	 TRUE	12mo	19.0	12.5	 1	 237.50	   111
15 cm.	NA	NA	15.0	FALSE	16mo	12.0	15.0	 0	 180.00	   110
obl.1/12⁰.	12mo	NA	NA	 TRUE	12mo	19.0	12.5	 1	 237.50	   108
