Name	Count
Susanna	210
Aphra	117
Charlotte	96
Eleanor	80
Charlotte Turner	74
Fanny	48
Ellenor	40
Country	26
Susannah	25
Arthur Annesley	21
Laetitia	17
Lady	16
Thomas Catesby	14
Greenvile	12
Marjory	11
Georgiana Cavendish	10
Grizel	10
Jean-louis Guez	10
Clementina	9
Arabella	8
Charlotte Johnston	8
Euphame	8
Florence	8
Joan	8
Helena	7
Linen	7
Experience	6
Havilland	6
Eleanora	5
Jacobina	5
John Monck	5
Margery	5
Albinia	3
Aminadab	3
Ammi Ruhamah	3
Anodyne	3
Elspeth	3
Esprit	3
Gracious	3
Grissel	3
Grizell	3
Louisa	3
Lucretia	3
Margaretta V	3
Mary Eleanor Bowes	3
Philip Dormer	3
Plain	3
Samuel Argent	3
Ursula	3
William Mayne	3
Annesley	2
Arrabella	2
Charlotte Chaumet D'	2
Count Palatine	2
Dircy	2
Eleonora	2
Ellinor	2
Grania	2
Grenada	2
Harriot	2
Hebe	2
Helenor	2
James Annesley	2
Johanna Eleonora	2
John Annesley	2
Kathrine	2
Leclerc	2
Marie-jeanne	2
Phebe	2
Richmal	2
Sibilla	2
Sylviana	2
Ad	1
Adeliza	1
Aemilia	1
Ahmedi Misri	1
Alvaro Navia Osorio	1
Amabel Hume-campbell	1
Ann Emelinda	1
Annabella	1
Apphia	1
Bathsheba	1
Beata	1
Bethiah	1
Charlotte Addison	1
Charlotte Brabantina	1
Charlotte Campbell	1
Charlotte Compton	1
Charlotte Eliza	1
Charlotte Murray	1
Clementia	1
Cordelia	1
Dulcibella	1
Emilia	1
Gallien	1
Georgiana	1
Georgina	1
Grizzle	1
Harriot Westrop	1
James Cavanah	1
Jannet	1
Jasper Really Kasper	1
Jemina	1
John Somers Cocks	1
John Webbe	1
Katheren	1
Kosa	1
Krystyna	1
Laetitia Matilda	1
Louise Florence Pétronille Tardieu Désclavelles	1
Magdalene	1
Magi	1
Margrat	1
Margret	1
Mariamne	1
Mehetable	1
Meliora	1
Micaele	1
Of Grenada	1
Oonagh	1
Paulet	1
Perses	1
Philippa	1
R Willhelmina	1
Rebeckah	1
Rossetta	1
Selina Hastings	1
Signora	1
Silence	1
Silent	1
Silviana	1
Susanna Lyon	1
Thankfull	1
Theodosio	1
Theophrastus	1
Wilhelmine Ente	1
