doc.dimension,mean.pages.singlevol,median.pages.singlevol,n.singlevol,mean.pages.multivol,median.pages.multivol,n.multivol,mean.pages.issue,median.pages.issue,n.issue
1to,NA,NA,16,NA,NA,NA,NA,NA,NA
2long,NA,NA,5,NA,NA,NA,NA,NA,NA
2fo,1656.05615550756,1008,1389,421.13814076535,500,1340,38,38,2
4long,NA,NA,2,NA,NA,NA,NA,NA,NA
4to,210.268082282681,64,1507,82.5463995645827,32,899,31.8484848484848,32,132
8long,15.3333333333333,15.3333333333333,2,4.33333333333333,4.33333333333333,2,NA,NA,NA
8vo,-Inf,584,7187,286.603517839735,290,7415,21.3333333333333,26,3
12long,99.4285714285714,48,7,44.4,24,6,NA,NA,NA
12mo,437.481361901967,314,6826,157.943173751574,155,7008,NA,NA,NA
16mo,790.851063829787,588,48,292.044444444444,292,50,NA,NA,NA
18mo,626.582677165354,410,254,200.966530054645,201,265,NA,NA,NA
24mo,735.441666666667,543.5,60,271.946428571429,270.75,59,NA,NA,NA
32mo,NA,NA,7,NA,NA,1,NA,NA,NA
48mo,NA,NA,2,NA,NA,NA,NA,NA,NA
64mo,318.833333333333,294,6,147.166666666667,147,7,NA,NA,NA
NA,30.0695340501792,17.2,327,9.84469696969697,8.6,199,NA,NA,NA
