Name	Count
Total count: 	n= 472128  ( 100 % non-NA values)
19	238945
28	101480
45	 94182
90	 17446
15	  2554
30	  2339
16	  2330
12.5	  2142
60	  1127
22	   973
12	   875
20	   779
21	   520
13	   494
34	   488
35	   326
17	   319
18	   287
33	   278
31	   257
32	   256
39	   232
14	   231
23	   203
43	   188
42	   188
36	   183
40	   181
29	   169
44	   164
38	   158
41	   147
7	   138
27	   128
24	   125
37	   123
26	   118
10	   116
25	    99
46	    94
11	    90
49	    75
50	    73
53	    71
48	    68
47	    64
51	    55
52	    43
54	    34
56	    28
55	    16
57	    15
58	    12
9	    11
8.5	    11
59	     8
64	     7
63	     6
17.5	     5
68	     4
62	     4
5.5	     3
4.8	     3
9.5	     2
8	     2
69	     2
66	     2
6.5	     2
65	     2
61	     2
23.5	     2
95	     1
91	     1
89	     1
7.9	     1
78	     1
74	     1
70	     1
6.1	     1
6	     1
5.6	     1
52.5	     1
5.2	     1
5	     1
49.3	     1
46.5	     1
4	     1
35.5	     1
34.5	     1
33.8	     1
30.2	     1
24.3	     1
19.5	     1
18.5	     1
15.5	     1
