Name	Count
Total count: 	50775
Voltaire	637
Christie	616
Ovid	412
Horace.	321
Erasmus, Desiderius	286
Virgil.	285
Aesop.	273
Lady.	237
Homer.	222
James	198
Fénelon, François de Salignac de La Mothe-	194
Mather, Increase	171
Terence.	168
J. S.	167
Cordier, Mathurin	161
Rider, Cardanus.	161
R. B.	160
M. P.	157
Person of quality.	150
J. B.	146
L. P.	138
Plutarch.	135
T. W.	134
A. B.	131
Rousseau, Jean-Jacques	131
Gerard	130
Lorrain, P.	128
Xenophon.	126
Sallust	120
Euclid.	118
Behn, Aphra	117
Charles	114
Johnson, R.	113
Bailey, N.	111
Cock	110
Wright, S.	107
J. P.	106
Churchill, C.	105
Phaedrus.	105
Langford	103
Fénelon, François de Salignac de La Mothe-	102
J. C.	102
T. S.	102
Oldmixon	100
Gentleman.	 95
Juvenal.	 91
Kenrick, W.	 90
Layman.	 90
Fly.	 88
R. F.	 88
Junius	 87
Pratt	 85
Rapin de Thoyras	 85
Country gentleman.	 84
John	 83
Massie, J.	 83
Citizen.	 82
Henry	 82
J. H.	 82
J. W.	 82
Porteus, Beilby	 81
Aulnoy	 80
Lucian	 80
W. B.	 80
Blackall, Offspring	 79
R. S.	 79
William	 78
Barbauld	 77
Frederick	 77
Jenyns, Soame	 77
Middleton, Conyers	 77
Epictetus.	 76
R. H.	 74
Saint-Pierre, Bernardin de	 74
Perkins, F.	 73
Erra Pater.	 72
N. N.	 72
Philalethes.	 72
Langley, Batty	 71
Chetwood, W. R.	 70
Divine of the Church of England.	 70
Berquin	 69
Eutropius	 69
Knox, Vicesimus	 68
Ramsay	 68
T. B.	 68
Member of Parliament.	 67
Tasso, Torquato	 67
Demosthenes.	 66
England and Wales.	 66
Inchbald	 65
Manley, Delariviere	 65
Winchester, Elhanan	 64
J. M.	 62
R. G.	 62
Scott	 62
Bèze, Théodore de	 61
Leprince de Beaumont	 61
Raynal	 60
Jerningham	 59
Sophocles.	 59
Theobald	 59
Castellion, Sébastien	 58
Skinner, R.	 58
England. Parliament	 57
Pliny	 57
Clergyman of the Church of England.	 56
J. D.	 56
Vertot	 55
Dudley, H. Bate	 54
Hutchins	 54
W. C.	 54
Brookes, R.	 53
Derham, W.	 53
Impartial hand.	 53
Freeholder.	 52
Farmer.	 51
Fisher, A.	 51
Grosvenor, B.	 51
Hook	 51
J. F.	 51
Marmontel, Jean-François	 51
Pomey, François	 51
Brissot de Warville, J.-P.	 50
Marmontel, Jean-François	 50
Presbyter of the Church of England.	 50
Protestant.	 50
R. C.	 50
T. H.	 50
Euripides.	 49
J. G.	 49
Lewis, M. G.	 49
Plato.	 49
Aristotle.	 48
Englishman.	 48
Smith	 48
Cross, J. C.	 47
Gentleman in the country.	 47
Lover of his country.	 47
Nedham, Marchamont	 47
Thomas	 47
Young lady.	 47
Chapone	 46
Longinus	 46
R. A.	 46
Amhurst, N.	 45
Dilworth, W. H.	 45
Jones, D.	 45
Livy.	 45
Luis	 45
Mirabeau, Gabriel-Honoré de Riquetti	 45
Mitchell	 45
T. C.	 45
Tissot, S. A. D.	 45
Turner, R.	 45
Webster, W.	 45
W. P.	 45
W. S.	 45
Hamilton, Newburgh	 44
Martial.	 44
Boyse, J.	 43
Genlis, Stéphanie Félicité	 43
Gentleman of Oxford.	 43
Francis	 42
Howard, Gorges Edmond	 42
Machiavelli, Niccolò	 42
Mears, W.	 42
St. John, Theophs. J.	 42
Baptista	 41
Gunning	 40
Pott, Percivall	 40
T. R.	 40
W. W.	 40
Genlis, Stéphanie Félicité	 39
Isocrates.	 39
Clergyman.	 38
H. S.	 38
La Calprenède, Gaultier de Coste	 38
Louis	 38
Minister of the Church of England.	 38
Persius.	 38
Porny	 38
Ravisius Textor, Joannes	 38
Robertson, J.	 38
Coyer, Gabriel-François	 37
De Coetlogon, C. E.	 37
Fauques, Marianne-Agnès Pillement	 37
Molière	 37
Owen, W.	 37
Physician.	 37
Rich, Barnabe	 37
Theophrastus.	 37
Cheesman, T.	 36
Crown	 36
Lover of truth.	 36
M. S.	 36
N. L.	 36
R. W.	 36
Shepherd, R.	 36
Freeman.	 35
Godfridus.	 35
Minister.	 35
Molière	 35
Pilkington	 35
Strange, E.	 35
Bold, S.	 34
Citizen of London.	 34
Clement	 34
Dutens, L.	 34
Florian	 34
Friend.	 34
G. B.	 34
Griffith	 34
Hoadly	 34
Holdsworth, E.	 34
T. P.	 34
Welsted	 34
Young gentleman.	 34
Charles I	 33
Cunningham, T.	 33
Digby, Kenelm	 33
Gomez	 33
Member of the House of Commons.	 33
Philanthropos.	 33
Venn, H.	 33
A. M.	 32
Argens	 32
Ariosto, Lodovico	 32
Barbé-Marbois, François	 32
Brémond, Sébastien	 32
Gentleman of the Middle Temple.	 32
G. L.	 32
H. W.	 32
Morgan, McNamara	 32
Rowning, J.	 32
Sherlock, R.	 32
Louvet de Couvray, Jean-Baptiste	 31
Marcus Aurelius	 31
Mather, W.	 31
O'Bryen, D.	 31
Tickell	 31
Augustine	 30
Bellamy, D.	 30
Bicheno, J.	 30
Clowes, J.	 30
G. H.	 30
Gueullette, Thomas-Simon	 30
J. L.	 30
Member of the Church of England.	 30
Rapin, René	 30
R. F. H.	 30
R. M.	 30
Vossius, Gerardus Joannes	 30
W. R.	 30
Anacreon.	 29
A. T.	 29
Barruel	 29
Dionysius	 29
Evans, Arise	 29
Graham, Dougal	 29
Hippocrates.	 29
J. A.	 29
J. R.	 29
Person of honour.	 29
Pluche, Noël Antoine	 29
Ridley, Glocester	 29
Saint-Evremond	 29
Williams, Gryffith	 29
Zeno, Apostolo	 29
Brydone, P.	 28
Gentleman of the Inner-Temple.	 28
Montagu, R.	 28
Prévost	 28
R. T.	 28
T. D.	 28
T. G.	 28
Country Curate.	 27
D. W.	 27
Lover of their precious souls.	 27
Merchant.	 27
